# Node, all count, hit count, without preloading, with preloading
194, 423, 24, 394121, 369792
194, 424, 24, 395293, 370964
195, 425, 24, 398263, 373934
195, 426, 24, 398969, 374640
195, 427, 25, 399707, 374700
195, 428, 26, 400205, 374760
195, 429, 27, 400670, 374820
195, 430, 27, 402338, 376488
196, 431, 27, 404101, 378251
196, 432, 27, 404156, 378306
196, 433, 28, 405437, 378366
197, 434, 28, 407320, 380249
197, 435, 28, 407519, 380448
197, 436, 29, 407704, 380508
198, 437, 29, 407872, 380676
199, 438, 29, 408032, 380836
200, 439, 29, 408222, 381026
200, 440, 29, 408634, 381438
200, 441, 29, 409095, 381899
200, 442, 30, 409515, 381959
200, 443, 31, 409931, 382019
201, 444, 31, 411259, 383347
201, 445, 31, 411678, 383766
201, 446, 31, 411849, 383937
201, 447, 32, 412266, 383997
201, 448, 33, 412684, 384057
201, 449, 34, 413100, 384117
202, 450, 34, 414310, 385327
202, 451, 34, 414742, 385759
202, 452, 35, 415193, 385819
203, 453, 35, 416499, 387125
203, 454, 35, 416938, 387564
203, 455, 36, 417354, 387624
204, 456, 36, 418577, 388847
204, 457, 36, 419049, 389319
205, 458, 36, 419928, 390198
206, 459, 36, 421058, 391328
206, 460, 36, 421573, 391843
206, 461, 36, 421630, 391900
206, 462, 36, 423813, 394083
206, 463, 36, 424828, 395098
206, 464, 36, 425115, 395385
207, 465, 36, 426064, 396334
208, 466, 36, 427076, 397346
208, 467, 36, 427988, 398258
209, 468, 36, 429019, 399289
210, 469, 36, 429588, 399858
211, 470, 36, 429776, 400046
212, 471, 36, 430012, 400282
213, 472, 36, 430188, 400458
213, 473, 36, 430370, 400640
213, 474, 36, 430547, 400817
213, 475, 36, 430723, 400993
214, 476, 36, 430884, 401154
214, 477, 36, 431080, 401350
215, 478, 36, 431254, 401524
216, 479, 36, 431308, 401578
217, 480, 36, 431321, 401591
218, 481, 36, 431356, 401626
219, 482, 36, 431380, 401650
220, 483, 36, 431389, 401659
221, 484, 36, 431408, 401678
222, 485, 36, 432916, 403186
223, 486, 36, 433666, 403936
224, 487, 36, 433701, 403971
225, 488, 36, 433730, 404000
226, 489, 36, 433740, 404010
227, 490, 36, 433851, 404121
227, 491, 36, 433906, 404176
228, 492, 36, 433966, 404236
228, 493, 36, 434165, 404435
228, 494, 36, 434385, 404655
228, 495, 37, 437029, 404715
228, 496, 38, 437905, 404775
228, 497, 38, 438131, 405001
229, 498, 38, 439976, 406846
230, 499, 38, 440881, 407751
231, 500, 38, 441802, 408672
232, 501, 38, 442692, 409562
233, 502, 38, 443555, 410425
234, 503, 38, 444501, 411371
235, 504, 38, 445408, 412278
236, 505, 38, 446310, 413180
237, 506, 38, 447207, 414077
238, 507, 38, 448110, 414980
239, 508, 38, 449022, 415892
240, 509, 38, 450767, 417637
241, 510, 38, 451656, 418526
241, 511, 38, 452556, 419426
241, 512, 38, 454938, 421808
242, 513, 38, 455930, 422800
242, 514, 38, 456001, 422871
242, 515, 38, 457118, 423988
242, 516, 38, 457817, 424687
242, 517, 38, 458502, 425372
242, 518, 39, 459054, 425432
242, 519, 40, 459541, 425492
242, 520, 40, 460677, 426628
242, 521, 40, 461166, 427117
242, 522, 41, 461556, 427177
243, 523, 41, 462968, 428589
244, 524, 41, 463856, 429477
245, 525, 41, 464063, 429684
246, 526, 41, 464137, 429758
246, 527, 41, 464179, 429800
247, 528, 41, 464236, 429857
247, 529, 41, 464299, 429920
248, 530, 41, 464358, 429979
248, 531, 41, 464427, 430048
249, 532, 41, 464526, 430147
250, 533, 41, 464607, 430228
250, 534, 41, 464658, 430279
250, 535, 41, 464692, 430313
250, 536, 42, 464944, 430373
250, 537, 42, 466168, 431597
250, 538, 42, 467379, 432808
251, 539, 42, 468820, 434249
251, 540, 42, 470196, 435625
251, 541, 42, 471730, 437159
252, 542, 42, 475760, 441189
252, 543, 42, 476961, 442390
